"gene","M_C1_IL1B_Mono","M_C10_MKI67_Macro","M_C11_MT1G_Macro","M_C12_HSPA1A_Macro","M_C13_MMP9_Macro","M_C14_CD1C_cDC","M_C15_LAMP3_cDC","M_C16_LILRA4_pDC","M_C17_S100A8_Neutro","M_C18_ISG15_Neutro","M_C19_AZU1_Neutro","M_C2_S100A8_Mono","M_C20_CXCL8_Neutro","M_C3_FCGR3A_Mono","M_C4_VCAN_Mono","M_C5_CCL3_C1QA_Macro","M_C6_SPP1_Macro","M_C7_TREM2_Macro","M_C8_BMP2K_Macro","M_C9_ISG15_Macro"
"ACOT2",0.009,0.0457,0.0592,0.0233,0.0686,0.0277,0.0361,0.0231,0.0041,0.0061,0.0174,0.002,0.003,0.0069,0.0118,0.0359,0.0773,0.0402,0.024,0.0607
"ACOT4",0.0015,0.0229,0.0252,0.0057,0.0206,0.005,0.0055,0.0034,0.0012,4e-04,0.0139,0.0013,0,0.0012,0.0041,0.0094,0.0431,0.0101,0.0017,0.0154
"ACOT6",3e-04,0,0,0,0.0011,1e-04,0.0012,0,1e-04,0,2e-04,0,0,5e-04,0,2e-04,2e-04,1e-04,4e-04,2e-04
"DNAL1",0.0175,0.0359,0.0253,0.0179,0.054,0.0267,0.0316,0.0429,0.0056,0.0067,0.024,0.0078,0,0.0222,0.0221,0.0297,0.0334,0.0226,0.034,0.0328
"PNMA1",0.0145,0.0318,0.0365,0.0249,0.1232,0.0311,0.1224,0.0131,0.0066,0.0087,0.0232,0.0084,0.0044,0.0222,0.0142,0.0345,0.0477,0.0191,0.0185,0.0331
"ELMSAN1",0.2372,0.1968,0.1147,0.1431,0.0739,0.2325,0.2329,0.4096,0.107,0.1406,0.2127,0.0631,0.0661,0.2289,0.1729,0.2217,0.1601,0.092,0.243,0.1869
"PTGR2",0.0292,0.0265,0.0209,0.0162,0.0431,0.0242,0.0139,0.0228,0.0039,0.0071,0.0269,0.0046,0.0014,0.0272,0.0345,0.035,0.0321,0.0228,0.0685,0.0262
"ZNF410",0.129,0.0925,0.0311,0.065,0.0656,0.073,0.0562,0.0875,0.0281,0.0506,0.0954,0.0243,0.0078,0.1153,0.1455,0.0664,0.0574,0.0366,0.1631,0.0796
"FAM161B",0.0208,0.0178,0.0085,0.0127,0.0173,0.0111,0.0054,0.0271,0.0037,0.0049,0.0244,0.0056,0,0.0197,0.016,0.0118,0.0109,0.0067,0.0376,0.0086
"COQ6",0.0266,0.0492,0.0244,0.029,0.0485,0.037,0.0315,0.0387,0.0063,0.0083,0.0401,0.0049,0,0.0314,0.024,0.0402,0.0405,0.0309,0.04,0.0392
"ENTPD5",0.0323,0.0394,0.0237,0.0159,0.0441,0.0274,0.0191,0.0302,0.0044,0.0087,0.0465,0.0102,0.0025,0.0449,0.0383,0.0348,0.0397,0.0189,0.0617,0.0605
"BBOF1",0.0079,0.0082,0.0051,0.0045,0.0142,0.0081,0.0027,0.0291,0.0018,9e-04,0.0096,0.0023,0.0102,0.0096,0.0096,0.0103,0.0102,0.0065,0.018,0.0051
"ALDH6A1",0.0293,0.0648,0.0358,0.0296,0.0487,0.0388,0.0242,0.0424,0.0071,0.0094,0.0462,0.0139,0.0021,0.0207,0.0306,0.0608,0.0542,0.0386,0.039,0.042
"LIN52",0.0872,0.1014,0.0234,0.0325,0.0472,0.0415,0.0327,0.113,0.0099,0.0105,0.1593,0.0713,0.0174,0.0967,0.0924,0.036,0.0279,0.021,0.1392,0.0415
"ABCD4",0.0471,0.0881,0.0566,0.0513,0.0716,0.0694,0.0639,0.1323,0.0143,0.0228,0.0713,0.0227,0.015,0.0447,0.0494,0.1209,0.1027,0.0681,0.0897,0.0969
"VRTN",9e-04,0.0011,0,5e-04,0,1e-04,0,0.0011,3e-04,0,8e-04,2e-04,0,0.0017,0.0028,2e-04,1e-04,2e-04,0.0018,2e-04
"SYNDIG1L",0.001,3e-04,0,0.0011,0.0021,4e-04,6e-04,0.0015,2e-04,0,0,3e-04,0,0.003,0.0018,0.0015,0.001,3e-04,0.0092,0.0011
"NPC2",1.4445,2.1843,2.1291,1.86,2.2692,1.7463,1.3777,1.9037,0.6004,0.8033,1.094,0.1652,0.4305,1.5965,1.2781,2.4624,2.448,2.3171,1.7183,2.5652
"ISCA2",0.0846,0.1713,0.1341,0.104,0.1409,0.1282,0.1246,0.1924,0.0409,0.0442,0.0965,0.0241,0.0263,0.0902,0.0909,0.126,0.1711,0.1367,0.07,0.2407
"LTBP2",0.014,0.0583,0.0156,0.026,0.1354,0.0109,0.0207,0.0114,0.0143,0.0211,0.0089,0.0087,0.0094,0.006,0.0252,0.0699,0.0381,0.0354,0.1172,0.0313
"AREL1",0.1651,0.0858,0.0293,0.0591,0.0743,0.0495,0.051,0.1081,0.1442,0.0776,0.1613,0.2698,0.2755,0.1719,0.1902,0.0502,0.0572,0.0395,0.1212,0.0608
"FCF1",0.0959,0.1185,0.0613,0.0576,0.0668,0.0781,0.0557,0.1282,0.0392,0.0419,0.1215,0.0553,0.0356,0.0975,0.1136,0.0726,0.0862,0.0529,0.1211,0.0858
"YLPM1",0.1881,0.1769,0.0775,0.0813,0.1458,0.1317,0.1134,0.3479,0.0386,0.0361,0.2774,0.1533,0.0222,0.1991,0.196,0.1341,0.1099,0.0733,0.2445,0.1092
"DLST",0.1201,0.1267,0.079,0.0855,0.1421,0.1095,0.0829,0.1689,0.04,0.0342,0.1427,0.1343,0.033,0.1508,0.0986,0.1011,0.1102,0.0681,0.1373,0.0906
"PGF",0.011,0.0173,0.0196,0.0283,0.0157,0.0133,0.0146,0.0059,0.0165,0.0104,0.0133,0.0099,0.0015,0.0096,0.0039,0.0224,0.0145,0.0097,0.0118,0.0093
"EIF2B2",0.051,0.1092,0.0603,0.0605,0.0989,0.0685,0.0784,0.0705,0.0139,0.0089,0.0673,0.0259,0.0099,0.0549,0.0468,0.0669,0.0814,0.0628,0.0441,0.0811
"MLH3",0.092,0.0696,0.0509,0.0389,0.0693,0.0465,0.0455,0.082,0.0108,0.0119,0.1241,0.018,0.0031,0.0588,0.0957,0.0571,0.0628,0.0385,0.1117,0.0428
"ACYP1",0.0379,0.1432,0.0652,0.045,0.0801,0.0556,0.0538,0.0712,0.012,0.0099,0.0905,0.0101,0.0059,0.0496,0.0474,0.0423,0.0607,0.0366,0.0612,0.0465
"ZC2HC1C",0.0051,0.0056,0.005,0.0068,0.0045,0.0053,0.0019,0.0066,0.0019,0.0011,0.0063,0.0014,0.0023,0.0067,0.0063,0.0046,0.0042,0.0025,0.018,0.0028
"NEK9",0.1744,0.1204,0.0625,0.0771,0.0831,0.1163,0.0789,0.1395,0.0851,0.0759,0.1691,0.1372,0.0853,0.1781,0.1917,0.1141,0.0934,0.0788,0.2537,0.0953
