"Tissue","CellMajor","CellMin1","n","pct"
"hBM","Mesenchymal cells","Per_C1_RGS5",821,3.841
"hBM","Mesenchymal cells","Per_C2_MYH11",2136,9.993
"hBM","Myeloid cells","M_C10_MKI67_Macro",194,1.466
"hBM","Myeloid cells","M_C11_MT1G_Macro",1,0.008
"hBM","Myeloid cells","M_C12_HSPA1A_Macro",28,0.212
"hBM","Myeloid cells","M_C13_MMP9_Macro",10,0.076
"hBM","Myeloid cells","M_C14_CD1C_cDC",137,1.035
"hBM","Myeloid cells","M_C15_LAMP3_cDC",42,0.317
"hBM","Myeloid cells","M_C16_LILRA4_pDC",458,3.462
"hBM","Myeloid cells","M_C17_S100A8_Neutro",5359,40.503
"hBM","Myeloid cells","M_C18_ISG15_Neutro",50,0.378
"hBM","Myeloid cells","M_C19_AZU1_Neutro",541,4.089
"hBM","Myeloid cells","M_C1_IL1B_Mono",1317,9.954
"hBM","Myeloid cells","M_C20_CXCL8_Neutro",1,0.008
"hBM","Myeloid cells","M_C2_S100A8_Mono",4472,33.799
"hBM","Myeloid cells","M_C3_FCGR3A_Mono",114,0.862
"hBM","Myeloid cells","M_C4_VCAN_Mono",177,1.338
"hBM","Myeloid cells","M_C5_CCL3_C1QA_Macro",88,0.665
"hBM","Myeloid cells","M_C6_SPP1_Macro",32,0.242
"hBM","Myeloid cells","M_C7_TREM2_Macro",159,1.202
"hBM","Myeloid cells","M_C8_BMP2K_Macro",48,0.363
"hBM","Myeloid cells","M_C9_ISG15_Macro",3,0.023
"hBM","Plasma cells","PC_C1_TXNDC5",1135,9.231
"hBM","Plasma cells","PC_C2_GMDS",7080,57.58
"hBM","Plasma cells","PC_C3_IGHGP",3048,24.789
"hBM","Plasma cells","PC_C4_CD79A",24,0.195
"hBM","Plasma cells","PC_C5_HSPA1A",148,1.204
"hBM","Plasma cells","PC_C6_SELK",2,0.016
"hBM","Plasma cells","PC_C7_HLA-DRA",17,0.138
"hBM","Plasma cells","PC_C8_IGHG",833,6.775
"hBM","Plasma cells","PC_C9_IGHA",9,0.073
"hBM","T and NK cells","CD4T_C1_CCR7_Tn",379,3.579
"hBM","T and NK cells","CD4T_C2_FOXP3_Treg",79,0.746
"hBM","T and NK cells","CD4T_C3_BACH2",5109,48.239
"hBM","T and NK cells","CD4T_C4_CXCL13",36,0.34
"hBM","T and NK cells","CD4T_C5_TOX",202,1.907
"hBM","T and NK cells","CD4T_C6_ISG15",1,0.009
"hBM","T and NK cells","CD8T_C1_HSPA1A",287,2.71
"hBM","T and NK cells","CD8T_C2_GZMK",621,5.863
"hBM","T and NK cells","CD8T_C3_PDCD1",247,2.332
"hBM","T and NK cells","CD8T_C4_XCL1",331,3.125
"hBM","T and NK cells","CD8T_C5_ISG15",426,4.022
"hBM","T and NK cells","CD8T_C6_TOX",1197,11.302
"hBM","T and NK cells","CD8T_C7_MKI67",724,6.836
"hBM","T and NK cells","NK_C1_FCGR3A",5,0.047
"hBM","T and NK cells","NK_C2_XCL1",12,0.113
"hBM","T and NK cells","NK_C3_HSPA1A",28,0.264
"hBM","T and NK cells","NK_C4_CX3CR1",688,6.496
"hBM","T and NK cells","NK_C5_KLRC2",205,1.936
"hBM","T and NK cells","NK_C6_NFKB1A",14,0.132
