"gene","B_C1_CRIP1","B_C10_LOMO2","B_C11_MZB1_PC","B_C2_IGHM_Bn","B_C3_HSPA1A","B_C4_FCRL1","B_C5_IFIT3","B_C6_ZZF331","B_C7_MKI67","B_C8_BACH2","B_C9_IGLL5"
"GMEB1",8.23,13.83,19.09,7.95,7.42,10.61,11.33,5.65,29.83,15.21,6.43
"YTHDF2",20.86,35.57,48.96,20.4,20.42,18.93,24.91,19.71,56.77,31.03,20.64
"OPRD1",0.02,0,0,0.04,0.03,0.1,0,0,0.38,0.39,0
"EPB41",24.28,17.89,74.34,22.9,20.91,56.65,20.29,15.65,60.88,65.32,8.22
"TMEM200B",0.07,0,0.1,0.08,0.04,0.11,0.02,0,0,0.23,0
"SRSF4",26.28,39.3,81.59,24.1,24.24,46.17,33.58,18.02,79.3,55.47,18.5
"MECR",1.87,4.61,3.31,1.45,2.13,2.38,2.85,1.3,8.45,1.4,0.71
"PTPRU",0.04,0,0.06,0.04,0.03,0.15,0.07,0,0.15,0.16,0.09
"MATN1-AS1",2.46,1.54,0.91,4.57,3.75,3.74,2.32,3.04,0.91,1.32,1.97
"LAPTM5",86.6,97.8,98.09,90.64,86.37,79.95,92.1,88.65,95.89,81.69,90.08
"SDC3",0.18,0,0.62,0.22,0.17,0.4,0.17,0.1,0.23,0.39,0.09
"PUM1",18.09,27.77,86.94,18.5,18.3,49.61,21.37,14.4,65.68,61.91,8.94
"NKAIN1",0.01,0,0.29,0,0,0.23,0,0,0.46,0.16,0
"SNRNP40",13.19,21.08,15.72,11.38,12.16,14.08,20.29,11.79,54.57,11.02,10.01
"ZCCHC17",8.59,16.25,17.24,8.36,7.56,13.9,11.33,5.65,36.53,14.74,8.04
"FABP3",0.1,0.22,0.52,0.11,0.04,0.3,0.12,0.05,0.61,0.16,0
"SERINC2",0.39,8.67,7.29,0.81,0.23,0.4,0.74,0.39,10.27,2.64,1.16
"TINAGL1",0.17,0.22,1.33,0.2,0.17,0.32,0.07,0.1,1.45,0.47,0.63
"HCRTR1",0,0,1.81,0.01,0,0.54,0,0,0.68,0.62,0
"PEF1",9.7,26.78,15.17,9.5,9.87,5.49,18.01,9.57,31.05,8.22,11.26
"COL16A1",0.05,0,0.32,0.03,0.12,0.17,0.07,0.1,0.3,0.62,0
"ADGRB2",0.25,0.11,0.16,0.02,0.15,0.08,0.17,0,0.38,0.23,0
"SPOCD1",0.01,0,0.1,0.01,0.03,0.07,0,0,0.08,0.08,0.18
"PTP4A2",34.28,51.59,76.05,25.26,30.08,37.81,35.43,19.52,80.37,63.54,19.39
"KHDRBS1",37.49,65.09,74.63,33.83,35.66,39.25,42.16,33.38,88.81,52.91,26.81
"TMEM39B",2.9,8.23,12.02,3.06,2.96,5,4.77,3.14,20.93,8.46,3.04
"KPNA6",9.59,12.62,47.25,8.96,8.43,23.99,10.97,5.31,37.14,29.25,6.97
"TXLNA",5.83,14.49,9.95,5.69,5.77,7.69,8.96,3.67,22.98,8.3,2.77
"CCDC28B",1.81,16.14,7.87,1.67,1.86,3.63,4.24,1.16,25.42,3.41,2.59
"IQCC",0.25,0.44,0.42,0.29,0.19,0.23,0.24,0.29,1.67,0.23,0.18
"DCDC2B",0.02,0.11,1.04,0.04,0.01,0.55,0.02,0,0.84,1.16,0
"TMEM234",2.41,7.9,5.96,2.48,2.24,2.04,3.57,2.46,8.45,2.48,2.59
"EIF3I",32.4,62.79,45.88,30.89,29.03,21.51,37.96,27.87,66.21,27.39,37.53
"FAM167B",0.14,1.54,0.23,0.21,0.24,0.21,0.22,0.34,0.68,0.23,0.09
"LCK",7.47,40.07,4.21,7.33,7.01,4.16,8.31,7.78,19.56,1.78,4.74
"HDAC1",21.71,55.76,27.19,20.37,19.35,22.62,25.58,18.84,60.27,22.27,14.48
"MARCKSL1",34.26,87.82,27.97,40.27,51.57,21.08,31.5,33.67,62.79,32.66,35.3
"FAM229A",0.68,1.54,2.88,0.55,0.61,0.73,0.57,0.1,3.27,1.16,0.36
"BSDC1",11.73,20.09,33.25,11.55,11.24,14.9,13.87,10.87,28.01,17.77,9.74
"ZBTB8B",0.07,0,0.19,0.06,0.07,0.12,0.05,0.05,0.15,0.16,0.63
"ZBTB8A",0.25,1.65,1.1,0.16,0.17,0.55,0.26,0.05,3.81,1.32,0.54
"ZBTB8OS",12.64,27,15.81,10.34,12.11,18.95,22.25,8.55,44.6,15.13,8.58
"RBBP4",21.07,66.52,66.49,20.97,19.97,28.76,32.6,18.41,82.8,43.99,14.66
"SYNC",3.75,18.11,16.95,3.65,3,8.52,3.14,2.27,31.74,13.5,2.77
"KIAA1522",0.12,0,0.16,0.08,0.15,0.22,0.12,0.05,1.14,0.39,0.27
"YARS",5.57,21.95,22.13,5.28,5.74,9.48,11.26,5.99,40.87,14.97,4.38
"S100PBP",5.84,13.17,28.03,5.26,6.1,14.61,12.67,3.96,32.19,19.63,3.22
"FNDC5",0.04,0.22,0.62,0.02,0.01,0.4,0,0,0.46,1.47,0
"HPCA",0,0,0.03,0,0,0.03,0,0,0,0,0
"TMEM54",0.21,0.33,0.1,0.22,0.17,0.23,0.22,0.34,0.23,0.08,0.54
"RNF19B",3.34,7.35,19.02,3.03,4.72,6.81,3.07,1.4,18.65,6.05,1.07
"AK2",12.44,32.38,16.72,12.14,12.71,9.43,20.17,14.73,48.86,10.4,10.99
"AZIN2",0.54,0.44,0.49,0.15,0.71,0.52,0.5,0.53,0.84,1.24,0.09
"TRIM62",0.83,2.31,10.08,0.86,0.65,3.41,0.72,0.77,7.38,8.84,0.27
"ZNF362",1.57,1.65,19.6,1.19,1.61,4.66,2.9,0.77,12.1,6.28,1.16
"A3GALT2",0,0,0.68,0.01,0,0.25,0,0,0.84,0.54,0
"PHC2",3.1,5.27,33.67,3.42,2.7,5.75,2.25,0.72,25.8,15.05,1.25
"ZSCAN20",0.17,0.22,0.32,0.18,0.14,0.23,0.38,0.19,0.84,0.39,0.36
"CSMD2",0.01,0.11,0.78,0.02,0.03,0.18,0.02,0,0.08,0.47,0.18
"CSMD2-AS1",0,0,0,0,0,0.03,0,0,0,0,0
"SMIM12",12.44,16.25,11.15,11.24,10.42,6.85,13.99,10.53,23.82,7.29,15.37
"GJA4",0.09,0.44,0.13,0.07,0.04,0.06,0.12,0.14,0.15,0,0.18
"DLGAP3",0.38,0.88,0.26,0.67,0.72,1.24,0.46,0.48,0.46,2.4,0.18
"TMEM35B",6.98,6.37,0.68,4.98,5.36,4.16,4.93,6.67,8.37,2.4,0.18
"ZMYM6",4.6,7.14,4.21,4.66,4.32,12.32,4.72,3.57,10.12,9,1.97
"ZMYM1",2.84,0.99,5.9,2.4,2.77,6.03,3.45,1.79,7.99,1.94,1.07
"SFPQ",57.58,78.92,91.54,58.97,66.09,56.35,58.2,62.66,93.07,68.35,37.8
