"gene","EC_C1_IGFBP7","EC_C10_COL1A2","EC_C11_RROX1","EC_C12_FCN3","EC_C13_MKI67","EC_C2_GJA5","EC_C3_HSPA1A","EC_C4_FLT1","EC_C5_ROBO2","EC_C6_ACKR1","EC_C7_IL6","EC_C8_IL32","EC_C9_CXCR4"
"IGHV3-48",0.3,0.37,0.2,0,2.59,0.27,0.7,0.23,0.73,0.46,0.42,0.75,2.28
"IGHV3-49",0.14,0.09,0.2,0.23,0.47,0.1,0.22,0.13,0.32,0.15,0.23,0.19,1.33
"IGHV5-51",0.39,0.19,0.1,0,1.41,0.33,0.5,0.25,0.84,0.55,0.69,0.94,2.72
"IGHV3-52",0,0,0,0,0,0,0,0,0.08,0,0,0,0
"IGHV3-53",0.1,0,0,0,0.24,0.06,0.05,0.08,0.16,0.12,0.07,0.14,0.7
"IGHV4-55",0.01,0,0.1,0,0.71,0,0,0,0,0.03,0.03,0.05,0.13
"IGHV4-59",0.35,0.75,0,0.91,1.65,0.43,0.35,0.23,0.43,0.4,0.59,0.56,1.9
"IGHV4-61",0.29,1.22,0.1,0.46,0.71,0.43,0.22,0.08,0.16,0.22,0.33,0.37,1.01
"IGHV1-69",0.06,0,0.1,0,0.47,0.06,0.05,0.03,0.14,0.03,0.13,0.05,0.13
"IGHV2-70D",0,0,0,0.46,0,0.04,0.07,0.03,0.05,0,0,0,0.13
"IGHV3-72",0.05,0,0,0,0.24,0.04,0.05,0.03,0.08,0.06,0.03,0.09,0.38
"IGHV3-73",0.1,0.09,0,0,0.94,0.06,0.1,0.05,0.22,0.06,0.23,0.23,0.76
"IGHV3-74",0.5,0.84,0.41,0.23,1.18,0.5,0.65,0.2,0.3,0.8,0.95,0.7,1.52
"POTEB2",0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4M2",0,0,0,0,0,0,0,0,0,0,0,0,0
"IGHV1OR15-3",0.01,0,0,0,0,0,0,0,0,0,0,0,0
"NIPA1",2.23,5.43,2.66,1.82,4.94,6.29,2.3,7.47,8.75,4.18,4.67,6.65,4.42
