"Cancer","CellMajor","CellMin1","n","pct"
"EC","Plasma cells","PC_C8_IGHG",188,82.096
"EC","Plasma cells","PC_C9_IGHA",1,0.437
"EC","T and NK cells","CD4T_C1_CCR7_Tn",706,13.154
"EC","T and NK cells","CD4T_C2_FOXP3_Treg",629,11.72
"EC","T and NK cells","CD4T_C3_BACH2",41,0.764
"EC","T and NK cells","CD4T_C4_CXCL13",405,7.546
"EC","T and NK cells","CD4T_C5_TOX",3,0.056
"EC","T and NK cells","CD4T_C6_ISG15",66,1.23
"EC","T and NK cells","CD8T_C1_HSPA1A",275,5.124
"EC","T and NK cells","CD8T_C2_GZMK",831,15.484
"EC","T and NK cells","CD8T_C3_PDCD1",359,6.689
"EC","T and NK cells","CD8T_C4_XCL1",221,4.118
"EC","T and NK cells","CD8T_C5_ISG15",200,3.726
"EC","T and NK cells","CD8T_C6_TOX",10,0.186
"EC","T and NK cells","CD8T_C7_MKI67",1250,23.29
"EC","T and NK cells","NK_C1_FCGR3A",116,2.161
"EC","T and NK cells","NK_C2_XCL1",138,2.571
"EC","T and NK cells","NK_C3_HSPA1A",28,0.522
"EC","T and NK cells","NK_C4_CX3CR1",14,0.261
"EC","T and NK cells","NK_C5_KLRC2",8,0.149
"EC","T and NK cells","NK_C6_NFKB1A",44,0.82
"EC","T and NK cells","NK_C7_ISG15",23,0.429
"GC","B cells","B_C10_LOMO2",487,2.62
"GC","B cells","B_C11_MZB1_PC",5,0.027
"GC","B cells","B_C1_CRIP1",5634,30.315
"GC","B cells","B_C2_IGHM_Bn",6141,33.043
"GC","B cells","B_C3_HSPA1A",3472,18.682
"GC","B cells","B_C4_FCRL1",92,0.495
"GC","B cells","B_C5_IFIT3",854,4.595
"GC","B cells","B_C6_ZZF331",1590,8.555
"GC","B cells","B_C7_MKI67",289,1.555
"GC","B cells","B_C8_BACH2",16,0.086
"GC","B cells","B_C9_IGLL5",5,0.027
"GC","Endothelial cells","EC_C10_COL1A2",6,0.373
"GC","Endothelial cells","EC_C11_RROX1",16,0.994
"GC","Endothelial cells","EC_C12_FCN3",7,0.435
"GC","Endothelial cells","EC_C13_MKI67",39,2.424
"GC","Endothelial cells","EC_C1_IGFBP7",284,17.651
"GC","Endothelial cells","EC_C2_GJA5",174,10.814
"GC","Endothelial cells","EC_C3_HSPA1A",145,9.012
"GC","Endothelial cells","EC_C4_FLT1",149,9.26
"GC","Endothelial cells","EC_C5_ROBO2",143,8.888
"GC","Endothelial cells","EC_C6_ACKR1",151,9.385
"GC","Endothelial cells","EC_C7_IL6",182,11.311
"GC","Endothelial cells","EC_C8_IL32",143,8.888
"GC","Endothelial cells","EC_C9_CXCR4",170,10.566
"GC","Epithelial cells","Epithelial",2844,100
"GC","Mast cells","Mast",1802,100
"GC","Mesenchymal cells","F_C1_MMP11",1798,40.071
"GC","Mesenchymal cells","F_C2_MIF",769,17.138
"GC","Mesenchymal cells","F_C3_CXCL12",15,0.334
"GC","Mesenchymal cells","F_C4_IGF1",1242,27.68
"GC","Mesenchymal cells","F_C5_SPP1",5,0.111
"GC","Mesenchymal cells","F_C6_COL2A1",83,1.85
"GC","Mesenchymal cells","F_C7_MKI67",69,1.538
"GC","Mesenchymal cells","Per_C1_RGS5",329,7.332
"GC","Mesenchymal cells","Per_C2_MYH11",177,3.945
"GC","Myeloid cells","M_C10_MKI67_Macro",124,2.736
"GC","Myeloid cells","M_C11_MT1G_Macro",27,0.596
"GC","Myeloid cells","M_C12_HSPA1A_Macro",48,1.059
"GC","Myeloid cells","M_C13_MMP9_Macro",16,0.353
"GC","Myeloid cells","M_C14_CD1C_cDC",323,7.127
"GC","Myeloid cells","M_C15_LAMP3_cDC",246,5.428
"GC","Myeloid cells","M_C16_LILRA4_pDC",137,3.023
"GC","Myeloid cells","M_C17_S100A8_Neutro",523,11.54
"GC","Myeloid cells","M_C18_ISG15_Neutro",20,0.441
"GC","Myeloid cells","M_C19_AZU1_Neutro",23,0.508
